location,new_cases_per_million,new_deaths_per_million,total_deaths_per_million,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,people_vaccinated_per_hundred,population_density_cov,population_cov,median_age_cov,gdp_per_capita_cov,diabetes_prevalence_cov,life_expectancy_cov,Population,Area_km2,Density_km2,Year_x,Meningitis,Neoplasms,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Lower respiratory infections,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings,Protein-energy malnutrition,Cardiovascular diseases,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Acute hepatitis,Alzheimer's disease and other dementias,Parkinson's disease,Total_death_ratio,air_polution,Obesity_rate,Number In Household,Households,1 Member,2-3 Members,4-5 Members,6+ Members,Year,smoking_ratio_both_sexes,smoking_ratio_males,smoking_ratio_females
France,114010.74600000007,875.4939999999996,873.187,183.95,73.47,78.76,122.578,67422000.0,42.0,38605.671,4.77,82.66,64990511,212934.0,118.0,2019,0.0003477431,0.3036027829,0.0010509226,0.0,0.0014525197,0.0008278132,0.0007031796,0.0028296439,0.0016202365,0.0065194133,7.07796e-05,0.0355374956,0.0017571796,0.0057669957,0.0,0.0024726687,0.0028850366,0.0072841403,0.0169470894,0.0,0.019704415,0.0003277402,0.0070487213,0.2561850914,0.0195413143,0.0339434168,0.016497793,0.0457959163,2.9235e-05,0.070791873,0.0123048732,0.8738460296,11.36678,21.6,2.22,30217950,35.46,46.84,16.08,1.62,2015,34.6,36.0,33.2
Gambia,2561.3790000000013,88.055,88.06,11.85,10.03,10.58,207.566,2486937.0,17.5,1561.767,1.91,62.05,2280094,4361.0,202.0,2019,0.0092978623,0.0469278898,0.0019736028,0.0279374447,0.0016227401,0.0006578676,0.0472787525,0.0001315735,0.0316653612,0.0113591808,0.0127626317,0.0536381395,0.0501295122,0.0006140098,0.0,0.024253386,0.0004824363,0.0050875096,0.0056576615,0.0,0.0144730875,0.0013595931,0.0047366468,0.11416196,0.0135959307,0.0185957246,0.0156572492,0.0274111506,0.0009210147,0.0067541075,0.0021490342,0.5512930607,58.2145,10.3,8.23,283790,8.39,12.96,17.23,61.42,2013,14.4,27.3,1.5
Georgia,177480.229,2832.313000000001,2821.266,63.14,28.87,34.27,65.032,3979773.0,38.7,9745.079,7.11,73.77,4002942,26911.0,57.0,2019,0.0005246141,0.2080219998,0.0029478319,0.0,0.0019985301,0.0031227033,0.0005745774,0.0006495223,0.0043717846,0.0173122668,0.0004746509,0.0191109439,0.006944892,0.0010492283,0.0,0.0003747244,0.000599559,0.0002498163,0.0078192489,0.0,0.0343247541,0.0004996325,9.99265e-05,0.7421791273,0.017637028,0.030527547,0.0390212998,0.053435698,0.000199853,0.0429933784,0.0075944143,1.2446595529,18.24743,21.7,3.34,1113542,17.48,39.28,30.60,12.64,2014,29.7,54.2,5.2
Germany,64727.67400000002,929.2079999999983,925.2750000000001,179.02,70.64,73.65,237.016,83900471.0,46.6,45229.245,8.31,81.33,83124418,137891.0,233.0,2019,0.0002598514,0.3297322334,0.0008156448,0.0,0.0005594024,0.0007422608,0.0005064697,0.0020186608,0.0005557934,0.0053750752,4.21056e-05,0.0301908881,0.0013209115,0.0076740387,1.203e-06,0.0051693595,0.0001804524,0.0009407585,0.0140319779,0.0,0.0269030455,0.0001190986,0.0007410578,0.4382406623,0.0423702215,0.054334215,0.0246522027,0.0582500319,4.33086e-05,0.059617861,0.0154888302,1.1208776223,11.92769,22.3,2.05,40624971,39.53,47.00,12.71,0.76,2011,28.0,29.9,26.0
Ghana,2774.9730000000004,30.286000000000005,30.253,24.44,7.36,18.2,126.719,31732128.0,21.1,4227.63,4.97,64.07,29767102,92098.0,125.0,2019,0.0117142744,0.0621793818,0.002055961,0.0725532502,0.0018308803,0.0026001859,0.0491179827,0.000194846,0.0343432827,0.0195047539,0.0050995895,0.0547785942,0.0537976455,0.0007760245,0.0,0.0220444704,0.0004400831,0.0066281225,0.0069371886,6.71883e-05,0.0207376586,0.001454626,0.00624179,0.1332007395,0.0157186951,0.0199481965,0.0205764068,0.0343634392,0.0009574328,0.0065239807,0.0016461125,0.6680327833,54.4758,10.9,3.49,8862356,25.88,30.34,25.30,18.48,2014,3.7,7.0,0.4
Greece,103310.39400000003,1534.035,1530.1689999999999,166.5,67.61,72.02,83.479,10370747.0,45.3,24574.382,4.55,82.24,10522246,50949.0,80.0,2019,0.0002851102,0.334852464,0.0010263968,0.0,0.0035448706,0.0012354777,0.0002090808,0.0017676834,0.0013020034,0.0121456959,3.80147e-05,0.0566133884,0.0013305144,0.0003991543,0.0,0.0004181617,0.0002280882,9.50367e-05,0.0047518372,0.0,0.0129820192,0.0001995772,3.80147e-05,0.5314549764,0.043754917,0.0608140125,0.0129820192,0.0387274732,0.0003706433,0.0664877061,0.0148922578,1.2029465952,14.3205,24.9,2.44,4394506,27.48,49.84,21.26,1.42,2011,39.1,45.3,32.8
Guyana,42039.45000000003,1126.122000000001,1126.113,90.56,37.22,51.94,3.952,790329.0,26.3,7435.047,11.62,69.91,779006,83000.0,4.0,2019,0.0007702123,0.1001275985,0.0020538995,0.0021822682,0.0080872291,0.0229780002,0.0232347376,0.0002567374,0.0078304917,0.0200255197,0.0030808492,0.0336326036,0.0246467935,0.0034659553,0.0,0.0078304917,0.0005134749,0.0062900671,0.032092179,0.0,0.072785062,0.0002567374,0.0055198548,0.31193598,0.0365850841,0.0152758772,0.0322205477,0.0504489054,0.0002567374,0.0101411286,0.0032092179,0.8377342408,20.40551,20.2,3.8,196290,12.87,36.69,32.09,18.35,2009,12.2,22.1,2.2
Haiti,1383.6779999999997,45.923000000000016,45.919999999999995,1.71,0.64,1.07,398.448,11541683.0,24.3,1653.173,6.65,64.0,11123178,10714.0,401.0,2019,0.0089632657,0.0945503165,0.0045670401,0.0040725771,0.013080794,0.031636642,0.0531143168,0.0003775899,0.011561444,0.012280663,0.0140427493,0.0568452649,0.0526378343,0.0034432606,0.0,0.036770067,0.0014564183,0.0085676953,0.0091430704,0.0,0.0381635536,0.0015912718,0.0082260663,0.2379535777,0.0213158506,0.0307466086,0.0193379985,0.0394131965,0.0007371994,0.0068955113,0.0024813053,0.8239731487,19.32223,22.7,4.29,2735164,9.43,31.10,32.93,26.54,2017,8.3,13.3,3.3
Hungary,96649.51400000008,3063.9989999999966,3052.16,156.47,62.09,65.04,108.043,9634162.0,43.4,26777.561,7.55,76.88,9707499,35917.0,104.0,2019,0.0005150657,0.3532629774,0.0013288696,0.0,0.0013494722,0.0014833893,0.0003811486,0.0006489828,0.0006283802,0.0082719555,0.0001030131,0.0125366997,0.0013906775,0.0055730111,0.0,0.0027607523,0.0021323721,0.0003502447,0.0195931001,0.0,0.0257223823,0.0004841618,0.000164821,0.6368066584,0.0187586937,0.0611486027,0.0361679151,0.0660623298,3.09039e-05,0.0499613752,0.0095493185,1.3171672745,16.59597,26.4,2.6,3753000,23.63,50.92,22.72,2.74,2011,30.6,34.8,26.4
India,17622.821000000014,233.1640000000002,238.30100000000002,103.98,43.29,60.69,450.419,1393409033.0,28.2,6426.674,10.39,69.66,1352642280,1269212.0,411.0,2019,0.0025680108,0.0689455752,0.0019129965,0.0024671711,0.0039955871,0.0030277037,0.0034227823,0.0006258122,0.031245068,0.0156711795,0.0030934269,0.0320602872,0.0323813625,0.0017196712,0.0001526642,0.0467488714,0.0008389506,0.0019863345,0.0144410686,5.08634e-05,0.0201892994,0.0002916514,0.0009894708,0.1903245254,0.0164804844,0.0863776785,0.019963667,0.034370802,0.0022908496,0.0095377028,0.0033493704,0.6515208884,83.30377,3.9,4.57,199584361,4.11,27.31,41.64,26.94,2015,27.0,42.0,12.1
Indonesia,12705.98,440.59800000000007,439.7819999999999,99.42,41.13,58.29,145.725,276361788.0,29.3,11188.744,6.32,71.72,267670543,737810.0,140.0,2019,0.0017614938,0.0857486959,0.0005435787,0.0002379791,0.0018720775,0.0008446951,0.0020932449,0.0002200466,0.028598216,0.0138244573,0.0019665967,0.0165565473,0.0142432557,0.0002439566,0.0002320016,0.0222620686,4.93144e-05,0.0076018824,0.0028609797,2.12948e-05,0.0397253276,0.000351178,0.0069641582,0.2433891278,0.0157398717,0.0377068014,0.0331265439,0.0472024297,0.0020771804,0.0091085854,0.0028452888,0.6400188757,19.67376,6.9,3.86,69855344,7.10,36.62,41.5,14.78,2017,37.9,70.5,5.3
Iran,58368.15699999999,896.9760000000001,895.7909999999999,136.67,60.21,69.97,49.831,85028760.0,32.4,19082.62,9.59,76.68,81800188,628860.0,50.0,2019,0.0007053774,0.0816526241,0.0021552518,0.0,0.0010586773,0.0027004828,0.001438872,0.003567229,0.0009999977,0.0258214565,0.0002616131,0.0124926363,0.0089816419,0.0003056228,0.0001540339,0.0011760364,8.67969e-05,0.0002811729,0.0051002328,4.64547e-05,0.0180170735,0.0009510981,0.000211491,0.2122256736,0.0153373731,0.0205806373,0.008352059,0.0140366426,0.0005696808,0.0170048509,0.0034816546,0.4597544446,39.00154,25.8,3.49,24056109,8.48,49.13,37.86,4.53,2016,14.0,24.6,3.5
Iraq,36366.446000000054,275.24399999999974,275.113,34.34,13.69,20.6,88.125,41179351.0,20.0,15663.986,8.83,70.6,38433600,168048.0,88.0,2019,0.001111007,0.0635199409,0.002484805,0.0,0.002151763,0.0125307023,0.000213355,0.0015221057,0.0024509804,0.0145783897,0.0009158653,0.0082688065,0.0189157404,0.0001483077,2.60189e-05,0.0016365888,3.90284e-05,0.0002705966,0.0053989218,0.0046287623,0.0240856958,0.0003252363,0.000236772,0.2080263103,0.0205211065,0.0085654219,0.0070771408,0.0095125099,0.0002966155,0.0084795596,0.0021907914,0.4301288456,49.61657,30.4,7.7,5212262,1.23,10.21,20.83,67.74,1997,22.2,40.8,3.6
Ireland,139482.31800000006,735.3109999999999,734.5120000000002,196.22,77.25,78.36,69.874,4982904.0,38.7,67335.293,3.28,82.3,4818690,26959.0,69.0,2019,0.0002075253,0.2154942526,0.000705586,0.0,0.0009338638,0.0006640809,0.0001867728,0.0041505056,0.0006225758,0.0034449197,4.15051e-05,0.0355490808,0.0015356871,0.0019714902,0.0,0.0010168739,0.0001452677,0.0002075253,0.0090273498,0.0,0.0104177691,0.0002075253,0.0001245152,0.214726409,0.0145267697,0.0528774418,0.0080519809,0.024280458,2.07525e-05,0.0343869392,0.008446279,0.6439717019,7.84751,25.3,2.77,1799221,21.58,48.05,26.21,4.16,2011,23.6,26.1,21.2
Israel,102833.06600000005,526.0059999999984,522.1189999999999,180.3,63.82,70.71,402.606,9291000.0,30.6,33132.32,6.74,82.97,8381516,8522.0,380.0,2019,0.0003340684,0.1745149684,0.0005965508,0.0,0.0005607577,0.0021953069,0.0004414476,0.000751654,0.0003102064,0.0072779197,0.0001073791,0.0207480365,0.0026964096,0.000775516,0.0,0.0046053721,0.0001908963,0.0006204128,0.0065024036,7.15861e-05,0.0315813989,9.54481e-05,0.0005130337,0.1478610791,0.0329892587,0.0241841691,0.009019848,0.0246614097,3.5793e-05,0.0331324309,0.0072182646,0.5345930259,19.42415,26.1,3.14,2953648,21.01,39.99,28.29,10.70,2008,25.5,35.2,15.8
Italy,66199.67900000003,1039.9960000000003,1033.9509999999998,184.89,74.37,80.43,205.859,60367471.0,47.9,35220.084,4.78,83.51,60627291,116347.0,201.0,2019,0.0003051431,0.3167748333,0.0008296594,0.0,0.0005789472,0.000804918,0.0010242912,0.0009286247,0.0007026539,0.0086974033,2.96896e-05,0.0204412894,0.0009979004,0.0005789472,0.0,0.0016692153,0.000296896,0.0012750034,0.0071172568,0.0,0.0356110254,0.0001385515,0.0009319235,0.3900998974,0.0272369089,0.051701139,0.0205353065,0.0470464696,0.0001418503,0.080430775,0.0132547568,1.030181276,15.84764,19.9,2.4,25020120,31.10,46.56,21.29,1.05,2011,23.4,27.1,19.6
Japan,11846.736000000004,117.806,117.548,158.35,78.27,79.65,347.778,126050796.0,48.2,39002.223,5.72,84.63,127202192,145919.0,337.0,2019,0.000319963,0.3478509238,0.0012712045,0.0,0.0061901449,0.0005628834,0.0001265701,0.0003852135,0.0030282497,0.005378052,3.1446e-05,0.0933954031,0.0003687043,0.0005267205,6.2892e-05,0.0028851704,0.001677644,0.0014402268,0.0194752933,0.0,0.0069055414,0.0002468511,0.0010966792,0.292827501,0.0356314614,0.0438624517,0.0206348645,0.0477987046,8.17596e-05,0.1296156909,0.0131680121,1.0768462229,13.64744,4.3,2.26,55704949,37.97,44.67,15.72,1.64,2020,21.9,33.2,10.5
Kazakhstan,45825.73699999998,814.0019999999995,814.0049999999999,92.14,44.83,47.31,6.681,18994958.0,30.6,24055.588,7.11,73.6,18319618,1052084.0,7.0,2019,0.0007423736,0.1150296911,0.0024945935,0.0,0.0049564352,0.0095635182,0.0014247022,0.0040885132,0.0041922272,0.0151804475,0.000294766,0.0219054786,0.0086955962,0.0092851281,0.0,0.0003220591,0.0040448442,0.0006604941,0.0233356394,0.0,0.0141269321,0.0025437212,0.0004585248,0.3569452158,0.0102240123,0.0533417236,0.0366001081,0.0485599645,0.0001146312,0.0126585609,0.0040448442,0.7658347461,21.045,21.0,3.5,5381052,14.57,38.32,30.97,16.14,2009,24.4,42.2,6.6
Kenya,3608.460000000001,67.23800000000013,67.16300000000001,18.19,7.56,10.79,87.324,54985702.0,20.0,2993.028,2.92,66.7,51392565,228555.0,87.0,2019,0.0085537665,0.0453217309,0.0016130738,0.0156617986,0.0011947253,0.0089623859,0.0994988283,0.0001790142,0.0326525831,0.008940982,0.007329854,0.0418426284,0.0356413423,0.0006615743,0.0,0.0361219566,0.000472831,0.0089779524,0.0061390203,0.0001323149,0.0120289773,0.0016461525,0.0086821897,0.079021158,0.0092698234,0.014992441,0.0254803394,0.0403735443,0.0028720108,0.0052634073,0.001208346,0.5607367525,21.53547,7.1,3.64,13071338,21.60,31.06,27.84,19.49,2015,11.8,20.8,2.8
Kyrgyzstan,15619.732999999998,218.18399999999983,217.85200000000003,34.02,14.95,18.58,32.333,6628347.0,26.3,3393.474,7.11,71.45,6304030,77200.0,32.0,2019,0.000602789,0.065830905,0.0012690295,0.0,0.0042036602,0.004711272,0.0026966877,0.0009993607,0.0064244618,0.0156566514,0.0009041835,0.0122461346,0.0207327694,0.0063927361,0.0,0.0014911097,0.0016497383,0.0001427658,0.0095177212,0.0,0.0051078437,0.0012214409,0.0001110401,0.2773146701,0.0077569428,0.0240005203,0.0339941276,0.03937164,0.0002855316,0.0114688541,0.0018242299,0.557928817,24.60486,16.6,4.21,1565200,8.21,30.82,36.13,24.85,2012,27.9,52.5,3.4
Latvia,125906.44100000011,2102.9180000000006,2090.058,136.91,67.62,70.42,31.212,1866934.0,43.9,25063.846,4.91,75.29,1928459,24927.0,30.0,2019,0.000414839,0.2904391537,0.0058596009,0.0,0.0063262947,0.007052263,0.0061188752,0.0026445986,0.0027483084,0.0098005713,0.0001037097,0.0181492062,0.0014000816,0.0147786393,0.0,0.0002074195,0.0055484716,0.0002592744,0.0203271109,0.0,0.0173713831,0.0007778231,5.18549e-05,0.8182180695,0.0136378321,0.0224531608,0.0201196914,0.0490028567,5.18549e-05,0.0534623759,0.0098524262,1.3971777466,12.7076,23.6,2.58,736370,26.47,49.93,19.72,3.88,2011,36.7,49.5,24.0
Lesotho,11672.623999999996,284.37000000000023,277.897,38.48,33.7,36.23,73.562,2159067.0,22.2,2851.153,3.94,54.33,2108328,11720.0,69.0,2019,0.0076838139,0.1051069853,0.0058814378,0.0,0.0051699736,0.0356680744,0.5119222436,0.0003320167,0.1232256082,0.0437787669,0.0071146425,0.092063474,0.0537392664,0.0016126523,0.0,0.0678736895,0.0012332047,0.0092016043,0.0349091792,0.0,0.0601898756,0.0022292547,0.0089170186,0.1910518667,0.0265139011,0.0529329402,0.0187352253,0.040838048,0.0011383428,0.0061185926,0.0017549452,1.5169366436,27.79676,16.6,3.34,600072,20.66,37.91,27.90,13.52,2014,29.7,54.7,4.6
Liberia,864.4339999999994,39.37799999999999,39.379999999999995,16.99,14.58,15.15,49.127,5180208.0,19.2,752.788,2.42,64.1,4818973,43000.0,43.0,2019,0.0089645657,0.0426024383,0.0022203901,0.0951862565,0.0017846126,0.0026354163,0.0342811632,0.0001452592,0.0220378906,0.0104379087,0.0147956836,0.0402575404,0.0464829332,0.0006640419,0.0,0.0492428573,0.0003942749,0.006702673,0.0053745892,0.0,0.0131563302,0.0011828246,0.0062253928,0.0892098794,0.0133845946,0.0110811993,0.0198175005,0.0316249956,0.0013280838,0.0058933719,0.0014940943,0.5786087617,50.63222,9.9,4.95,923685,9.67,24.81,28.74,36.78,2013,8.4,15.1,1.8
Lithuania,139102.67599999998,2063.3070000000016,2044.3429999999998,153.6,68.11,71.3,45.135,2689862.0,43.5,29524.265,3.67,75.93,2801264,25212.0,43.0,2019,0.0005711707,0.2809446022,0.0021418902,0.0,0.0059972927,0.0053547256,0.0021775884,0.0060329908,0.0054261219,0.0093529207,7.13963e-05,0.0189557286,0.0010352469,0.0113163201,0.0,0.0004997744,0.0071396341,0.0001427927,0.0305933322,0.0,0.0084961646,0.0029629482,7.13963e-05,0.7604067307,0.0093529207,0.0278088749,0.0296294815,0.067183957,3.56982e-05,0.055046579,0.0098526951,1.3586009744,10.4691,26.3,2.32,1204383,34.71,45.4,18.00,1.89,2011,27.1,35.3,19.0
Luxembourg,90342.99299999999,661.6130000000006,661.611,169.56,67.69,73.16,231.447,634814.0,39.7,94277.965,4.42,82.25,604245,998.0,234.0,2019,0.0001654958,0.2143170403,0.0004964874,0.0,0.0004964874,0.0011584705,0.0003309916,0.0024824368,0.0003309916,0.0062888398,0.0,0.0226729224,0.0009929747,0.004633882,0.0,0.0028134283,0.0001654958,0.0013239663,0.0114192091,0.0,0.0112537133,0.0001654958,0.0011584705,0.2204403843,0.0196939983,0.0365745683,0.0148946206,0.0350851062,0.0,0.0398844839,0.0094332597,0.6586732203,10.0889,22.6,2.41,259519,32.30,44.15,21.45,2.10,2011,21.7,23.6,19.8
Madagascar,1145.5449999999998,26.942999999999998,26.911,2.61,1.9,2.07,43.951,28427333.0,19.6,1416.44,3.94,67.04,26262313,226755.0,45.0,2019,0.0079353254,0.0419270001,0.0015421338,0.0225418073,0.0016639814,0.0019686004,0.0096335764,0.0001865791,0.0467133264,0.0111604793,0.0089405682,0.0520670057,0.0476119525,0.0006054303,0.0,0.0697349087,0.0005330833,0.0201238939,0.0057953768,0.0005292755,0.010844437,0.0014431326,0.0194346934,0.1347824923,0.0073793957,0.0229606585,0.0172262055,0.0273738265,0.0009481267,0.0032708467,0.0007920094,0.5976701291,17.8598,5.3,4.95,5304084,5.34,25.30,33.14,36.22,2011,28.9,46.9,11.0
Malawi,3480.8749999999986,110.61500000000005,110.54799999999999,9.17,3.59,7.6,197.519,19647681.0,18.1,1095.042,3.94,64.26,18143217,45747.0,153.0,2019,0.0130572213,0.0557233042,0.0017692562,0.0390008012,0.0019621658,0.0018353967,0.0784149801,0.0002149564,0.0433274871,0.0114478044,0.0063439687,0.0507407259,0.0563295914,0.0006944744,0.0003251904,0.0418668861,0.0004684946,0.0113651289,0.0066636474,0.0,0.0137627191,0.0015983935,0.0109076577,0.0862581316,0.0098273641,0.0132391075,0.020343691,0.0322158964,0.0016535105,0.005616424,0.0011795042,0.6181538809,22.33194,5.8,4.51,4091853,6.45,28.1,35.56,29.9,2015,12.8,20.4,5.2
Malaysia,80638.04300000005,946.2299999999997,945.931,176.27,78.21,79.37,96.254,32776195.0,29.9,26808.164,16.74,76.16,31528033,127723.0,95.0,2019,0.0009229881,0.0992576987,0.0009864237,1.58589e-05,0.0024549581,0.0018301173,0.0048242781,0.0004377057,0.0063181867,0.0240801575,0.000808804,0.0688625262,0.0041835785,0.0005582334,3.1718e-06,0.0043167932,4.12331e-05,0.0007580555,0.0057187202,0.0,0.0119861585,0.0006533868,0.0007295095,0.1865768156,0.0193637199,0.0237027156,0.0151706261,0.0319461731,0.0006406997,0.0116309191,0.0032320443,0.5320122572,16.55023,15.6,4.56,7176812,7.14,25.64,37.86,29.36,2000,21.8,42.7,1.0
Mali,661.9420000000005,18.671999999999983,18.412,5.07,1.88,4.21,15.196,20855724.0,16.4,2014.306,2.42,59.31,19077749,478838.0,15.0,2019,0.0328130955,0.048936591,0.0039784568,0.0943507539,0.0052050166,0.0121345553,0.0235667216,9.95925e-05,0.0295527528,0.0144513905,0.0184508141,0.0795901026,0.1677661238,0.0005241709,0.0,0.0727653981,0.0007023889,0.0779179976,0.004963898,0.006132799,0.014440907,0.0029615653,0.0761882337,0.1023129091,0.0141421297,0.0239755749,0.0171246618,0.0327397116,0.0021543422,0.0064263347,0.0017035553,0.9880725446,60.6721,8.6,5.81,3484826,3.11,20.29,30.32,46.28,2018,12.0,22.4,1.7
Malta,76659.55699999993,497.9809999999992,496.028,207.76,84.46,86.15,1454.037,516100.0,42.4,36513.323,8.83,82.53,439248,122.0,1390.0,2019,0.0004553236,0.2281171457,0.0004553236,0.0,0.0009106473,0.0011383091,0.0002276618,0.0020489564,0.0002276618,0.0034149273,0.0,0.0437110698,0.00250428,0.0006829855,0.0,0.0006829855,0.0002276618,0.0002276618,0.0054638837,0.0,0.0280024041,0.0002276618,0.0002276618,0.3394437766,0.0239044913,0.0357429061,0.0091064729,0.0282300659,0.0,0.0500856008,0.0118384147,0.8173059411,13.0654,28.9,2.85,180375,17.15,49.78,30.40,2.66,2011,25.1,27.8,22.5
Mauritius,53362.264,609.379,609.379,159.95,71.45,74.41,622.962,1273428.0,37.4,20292.745,22.02,74.99,1267185,760.0,644.0,2019,0.0003945754,0.1197141696,0.0016572166,0.0,0.0029198578,0.0025252824,0.0071812719,0.0011048111,0.0011837261,0.0130209875,0.0005524055,0.0228064568,0.0068656116,0.0059975457,0.0,0.0023674523,0.0,0.0012626412,0.0089174035,0.0,0.1498597285,0.0003156603,0.0012626412,0.261129985,0.0994329952,0.0423773956,0.0207546649,0.0314082001,7.89151e-05,0.0254895694,0.0049716498,0.8355528198,15.26528,10.8,3.48,364285,9.97,41.02,40.24,8.77,2011,26.9,48.3,5.4
Mexico,19518.60000000002,1294.6909999999993,1324.8429999999998,114.24,55.87,62.89,66.444,130262220.0,29.3,17336.469,13.06,75.05,126190788,758445.0,64.0,2019,0.0004136594,0.0843334143,0.0009089412,7.925e-07,0.0018804859,0.0243068456,0.0039891977,0.0004723007,0.0020572025,0.0167230908,0.0008075074,0.0179030501,0.0098137116,0.003580293,0.0,0.0039083677,0.0001204525,0.0059893437,0.0061850791,0.0,0.0585129875,0.0003732444,0.0053450811,0.1327632569,0.0574835938,0.0305283774,0.036712664,0.0563622758,0.0001917731,0.0187470103,0.0039408582,0.584354858,20.10763,28.9,3.74,34167462,10.08,37.68,37.75,14.49,2015,13.9,21.2,6.5
Moldova,57379.61700000004,1661.5630000000017,1802.9220000000003,44.15,24.41,24.6,123.655,4024025.0,37.6,5189.972,5.72,71.9,4051944,13068.0,120.0,2019,0.0004935902,0.1541235516,0.0023939127,0.0,0.0041214785,0.0051333385,0.0040227604,0.0006910263,0.0045410302,0.0088846243,0.0001480771,0.0215205343,0.0035044907,0.0108343057,0.0,0.0001974361,0.0047631458,4.9359e-05,0.013549052,0.0,0.0070089814,0.0044423121,2.46795e-05,0.578438399,0.0060464804,0.023963806,0.0677452601,0.0866991252,2.46795e-05,0.0310715054,0.0040227604,1.0484597023,13.95982,18.9,2.89,914026,22.64,43.62,27.87,5.87,2014,25.3,44.6,6.0
Mongolia,116577.39199999998,618.1439999999994,618.152,160.41,64.99,68.06,1.98,3329282.0,28.6,11840.846,4.82,69.87,3170216,603905.0,2.0,2019,0.0007570462,0.1880313518,0.0031228156,0.0,0.0050154311,0.0090845545,0.0004731539,0.0006308718,0.0117026726,0.0211972938,0.0012932873,0.0167181038,0.0178221295,0.0184214577,0.0003785231,0.001545636,0.0082959647,0.0004731539,0.0186738065,0.0,0.0043845593,0.0028073797,0.0,0.309316463,0.0123335445,0.0142892472,0.0522361883,0.0689227485,0.0004731539,0.0070973082,0.0016718104,0.7971696566,42.28819,20.6,4.32,774771,6.61,28.72,40.34,24.33,2000,27.6,49.1,6.2
Morocco,13981.11099999998,198.79199999999994,198.07300000000004,134.6,61.57,65.95,80.08,37344787.0,29.6,7485.013,7.14,76.68,36029093,172413.0,81.0,2019,0.0011102139,0.0776233806,0.0022426321,0.0,0.0009825393,0.0009714372,0.0013711142,0.0011296426,0.0109134027,0.0254905112,0.0015737282,0.0173415412,0.014252371,0.0003080844,0.0,0.0038163603,0.0002886556,0.00059674,0.0071220222,0.0,0.0183657135,0.0006439241,0.0004746164,0.3248319351,0.025867984,0.0260150873,0.0126314587,0.020600019,0.0010713564,0.0137250194,0.0038579933,0.6152194839,34.99173,26.1,5.24,6890065,5.88,21.48,31.96,40.68,2004,14.7,28.6,0.9
Mozambique,5294.460000000004,57.15599999999999,57.147,45.76,18.92,26.84,37.728,32163045.0,17.7,1136.103,3.3,60.85,29496004,309494.0,37.0,2019,0.0092521007,0.0458740106,0.0023291291,0.069595868,0.0024274475,0.0061398147,0.2247897715,0.0004576891,0.0701789978,0.0168802527,0.0070246804,0.0526308581,0.0824416758,0.0008746948,0.0021799563,0.0300616992,0.0005424464,0.0119677228,0.008272307,0.0005390561,0.0159750453,0.0020951991,0.0113981541,0.1074450627,0.0089673164,0.0127440992,0.008635068,0.0238472981,0.0016307294,0.005183753,0.0011560888,0.8435379925,20.71532,7.2,4.37,6885971,9.85,30.96,30.10,29.09,2011,14.4,23.4,5.4
Namibia,47704.895000000055,1323.6879999999999,1321.819,24.36,10.97,13.39,3.078,2587344.0,22.0,9541.808,3.94,63.71,2448301,318250.0,3.0,2019,0.0040844651,0.0653514417,0.0035943293,0.007842173,0.0029816595,0.0178899572,0.1540660237,0.0002450679,0.033941905,0.0234856744,0.0031450381,0.0596740352,0.0360249822,0.0011436502,0.0,0.0284278771,0.0006943591,0.007719639,0.0106604539,0.0,0.0322672743,0.0011844949,0.0075154158,0.1530449075,0.0142547832,0.032308119,0.0138463367,0.0297757506,0.0003267572,0.0093125804,0.0021647665,0.7569739178,24.23679,17.2,4.24,590931,17.45,29.84,25.56,27.16,2013,17.9,28.4,7.4
Nepal,19120.925999999992,327.8749999999994,327.68399999999997,74.1,32.81,41.28,204.43,29674920.0,25.0,2442.804,7.26,70.78,28095714,56827.0,191.0,2019,0.0016692938,0.076912087,0.000679819,3.5593e-06,0.0052534703,0.001904205,0.0051039813,0.0001281334,0.0266517519,0.0096847512,0.0061005746,0.0311791329,0.0298871209,0.0008079524,0.0004235521,0.0200279658,0.0008079524,0.0046270403,0.0125570754,7.47445e-05,0.0123648753,0.0017725123,0.0035165506,0.1655092303,0.018180709,0.1452178791,0.0282783346,0.0403015207,0.0019326791,0.0087130727,0.003114354,0.6633858816,82.82545,4.1,4.24,7075702,6.45,33.96,36.57,23.02,2016,31.9,48.6,15.3
